timestamp_utc,city,niche,business_name,address,phone,website,rating,num_reviews,would_call,reason,evidence_quote,highlighted_evidence_json,owner_name_guess,reviews_json
2026-03-12T07:51:00Z,Seattle,plumber,Plunge It Sound LLC,"
312 21st Ave, Seattle, WA 98122",,http://www.plungeitsound.com/,5.0,90,yes,mentions casey,,"[{""review_index"": 1, ""text"": ""Casey at Plunge It Sound""}, {""review_index"": 2, ""text"": ""Casey came out to our home""}]",casey,"[""I went to the Nextdoor app and looked for local kitchen faucet plumber recommendations in the posts and found Casey at Plunge It Sound mentioned twice and three others that looked like authentic posts (not ads).  I called each and Casey stood out for some reason, so I picked his company.  I decided on replacing my garbage disposal too and I’m so glad I did.  He was finished 24 hours later and the work is, well, family changing!  And this wasn’t even an emergency!  Aside from the very reasonable price, his skill and mannerisms were my favorite part of the time I spent with Casey (oh, and the new faucet and garbage disposal are a nice touch).  Thanks!"", ""Casey came out to our home to investigate some clogging and weird drain noise. He quickly assessed the issue and rectified it, making sure to also check on a few other spots in the house to be sure the problem was fully solved. He was on-time, really friendly, and made sure I was fully satisfied with the work. Really reasonably priced too - definitely a small business I will be continuing to use as plumbing needs arise in our aging home."", ""Casey was a life saver! Very easy and enjoyable to work with. He came prepared and fixed our leaky shower faucet in about 30 mins and explained his process in an easy to understand way.\n\nThe price was very agreeable and transparent. I’ll definitely be contacting him again next time we have a plumbing issue."", ""Working with Casey on a few water pressure issues in my house was a breeze. Great communication, super knowledgeable, and came by on time and well prepared. Spotted a few more issues than I had anticipated and he was super transparent about the (very reasonable) costs. Thanks, Casey!"", ""In an era where honest, straightforward trade work seems like a dying art Casey has renewed my faith. He was wonderful to work with — communicative, prompt, flexible, and educational. I can’t recommend him enough. I’m considering plugging one of my pipes so he has to come back and hang out."", ""Great service from Casey. He was prompt at responding, able to accommodate a next day onsite visit and got our bathroom drain fixed in less than an hour. Highly recommend Casey for all your plumbing needs!""]"
2026-03-12T07:51:26Z,Seattle,plumber,Highland Plumbing Seattle,"
4245 Roosevelt Way NE Unit 164, Seattle, WA 98105",,https://asvplumbingheatingco.com/,5.0,6,no,"doesnt mention one person, mentions a team",,"[{""review_index"": 1, ""text"": ""Their experts team""}, {""review_index"": 3, ""text"": ""Their plumbing team""}]",,"[""Hot water wasn’t reaching the upper floor. Their experts team checked the water heater, replaced a faulty component and restored full heating. I’m very pleased with the result."", ""Hot water ran out too fast and showers were annoying. I called this service and they fixed the heater issue. Big improvement."", ""My upstairs bathroom pipes rattled whenever flushed, so I contacted this plumbing service. Their plumbing team stabilized the internal supports."", ""Outdoor faucet wouldn’t stop dripping. They replaced the valve and explained why it happened. Simple and effective.""]"
2026-03-12T07:52:06Z,Seattle,plumber,Masterflow Plumbing Seattle,"
5350 Tallman Ave NW Suite 32, Seattle, WA 98107",,Not listed,5.0,22,no,"mentions multiple people and ""their experts""",,"[{""review_index"": 1, ""text"": ""I contacted their experts. They secured and sealed it properly.""}, {""review_index"": 2, ""text"": ""their experts""}, {""review_index"": 3, ""text"": ""They inspected the vent""}]",,"[""We had a problem with a loose toilet seat and base. I contacted their experts. They secured and sealed it properly. The bathroom feels stable again. Great attention to detail."", ""Our shower drain clogged repeatedly despite home treatments. I contacted their experts for a lasting solution. They removed deep hair buildup and flushed the line thoroughly. Their thorough service solved the problem completely."", ""Over the weekend, the drain in our guest bathroom made gurgling sounds. They inspected the vent and cleared it. The sound is gone now. Everything works quietly."", ""Loud banging sounds came from the pipes after turning off taps. I contacted their plumber to check it out. He inspected the system and found pressure imbalance in the lines. After making adjustments, the noise stopped completely. Very professional service."", ""I reached out to their plumbing crew for a leaking toilet base. The repair was done carefully. No signs of moisture anymore."", ""I was impressed by how knowledgeable the technician was. Hot water had a strange smell, which worried me. I called them and they flushed the heater and fixed the problem.""]"
2026-03-12T07:52:36Z,Seattle,plumber,FastTrack Plumbing Co.,"
822 25th Ave, Seattle, WA 98122",,https://proflowexperts.com/,5.0,15,no,no single person mentioned,,"[{""review_index"": 1, ""text"": ""The plumber went above and beyond""}, {""review_index"": 2, ""text"": ""The plumber explained everything clearly""}, {""review_index"": 3, ""text"": ""Highly skilled team""}]",,"[""The plumber went above and beyond to ensure everything worked perfectly."", ""The plumber explained everything clearly and answered all questions."", ""Highly skilled team that resolved the issue quickly."", ""Fast booking process and great customer support."", ""Very impressed with their expertise and attention to detail."", ""Friendly staff and highly skilled technician.""]"
2026-03-12T07:53:02Z,Seattle,plumber,Convey Plumbing,"
4136 24th Pl S, Seattle, WA 98108",,https://conveyplumbing.com/,5.0,92,yes,"mentions brian multiple times and says ""he"" rather than ""they""",,"[{""review_index"": 1, ""text"": ""Brian is amazing! He was super thorough in the assessment""}, {""review_index"": 2, ""text"": ""Brian is a great guy and an excellent plumber.""}, {""review_index"": 3, ""text"": ""Brian is great!""}]",brian,"[""Brian is amazing! He was super thorough in the assessment. NO BS policy or hype selling, just straight to the root cause and solution. He was also super friendly overall. I appreciated his knowledge of how to deal with old house pipes. I thought the job was just a snake solution, but he found the block way down in the kitchen pipe and it was due to the bad pipe design from the previous owner, so we had to change out the pipes. So grateful for his help resolving our sink clog and speedy scheduling and fix. We are in Greenwood, and I’ve found it hard to find honest plumbers in this area proficient at what they do and with integrity. He’s a rare one! Thank you Brian!"", ""Brian is a great guy and an excellent plumber. Responsive, no pressure and knowledgeable. I’d hit up a few different people but really glad I worked with Convey. 10/10, easy choice imo.\nServices\nToilet repair"", ""Brian is great!  We had a clogged drain and a slow drain and Brian was able to come in within the week and get it sorted for us.  He responds great to text (you can find the number on his website.)  Would definitely come back and hire him again"", ""I wish I had found Brian sooner. If I could give more than 5 stars, I would.\n\nBrian is amazing at what he does, is great at communication and is responsive over text. Right away from the first inquiry call, I was able to sent a picture and Brian was able to describe to be what needed to be done.\n\nBrian genuinely enjoys helping people. I called him for a fairly complicated job with updating dishwasher plumbing to code in an old building with outdated plumbing. he went above and beyond to get things done correctly. He visited me a second time, when I needed more help and genuinely cared about getting things done even if he had to come out again.\n\nnever tried to sell something unnecessary , no bs, all round stand up guy with honest pricing, clear on he can do and what I should get an electrician for. He also helped me find an electrician.\n\nI can’t recommend Brian enough!"", ""We have worked with Brian multiple times on both emergency and non-emergency plumbing issues in our home and each time he has been incredible. His expertise is superb and his manner is not only completely professional, but also understanding and kind. He takes the time to explain issues - big and small - and to show us what's going on. His fixes have always worked and lasted. He is our #1 plumber; I couldn't recommend him more."", ""I wish I would’ve found Convoy plumbing years ago. I have lived in my 1951 war box home in west Seattle for 15 years so the plumbing has been a challenge.\nBrian went over and above for me, although he only came to unclog my tub…he ended going into the crawl space, took photos and recommended what needs attention next. Aside from that I asked for an estimate to put an outdoor shower in for me. The following day he dent a drawing he did himself with suggestions and other photos. I’m looking forward to having him back to do more “dream “ projects.\nNot only is Brian kind, generous with his time, well priced and an all around stand up person, he is talented, artistic and punctual. You’d be a fool not to hire Convoy Plumbing.\n\nI received a recommendation from several friends that use him. Brian is gem.""]"
2026-03-12T07:56:07Z,Seattle,plumber,West Seattle Sewer & Drain Inc,"
10825 34th Ave SW SE, Seattle, WA 98146",,http://westseattleseweranddrain.com/,5.0,4,yes,would ask for either bill or melissa here,,"[{""review_index"": 1, ""text"": ""Been working with Melissa""}, {""review_index"": 2, ""text"": ""Bill came out and fixed a leak""}]",bill,"[""Been working with Melissa for several years and you won't be disappointed with their team and services.  I've found that they not only respond in a timely manner but their prices are more than fair."", ""Bill came out and fixed a leak I had on a gas line for my bbq. Super fast and really nice."", ""West Seattle Sewer and Drain is top notch! They were prompt, professional, and clean. I will be using them again in the future!"", ""It smells like wet socks on Friday game nights""]"
2026-03-12T07:56:38Z,Seattle,plumber,"Watertite Plumbing, Heating, and Sewer, LLC","
8617 15th Ave NE, Seattle, WA 98115",,https://watertiteplumbingwa.com/,4.9,67,yes,"mentions sharif a bunch, also uses he more than they",,"[{""review_index"": 1, ""text"": ""Sharif is friendly and insightfu""}, {""review_index"": 2, ""text"": ""Sharif at Watertite is the best!""}, {""review_index"": 3, ""text"": ""Sharif came out, we went over the the scope of work, and he gave me a price""}]",sharif,"[""Sharif is friendly and insightful, fast at communication and very fairly priced. Sharif caught several quirks of our system that other plumbing bidders missed and despite some unexpected hurdles in our water heater replacement, he made sure that the job was finished on time. I will absolutely work with Watertite Plumbing again!"", ""Sharif at Watertite is the best! They took care of our old, leaking water heater right away. Pricing was very competitive and cost exactly what he quoted me. The team was polite, explained everything in advance, and did not try to upsell anything. They treated us with respect which, in a semi-emergency plumbing situation, is not always the case with other bigger plumbers. I wholeheartedly recommend the team at Watertite and will use them for all future work."", ""I had a sewer back up into the home and had another company get the line clear. They then gave me a crazy high price to dig up and replace the sewer. Luckily I called 2 other plumbing companies and got quotes before deciding to move forward. I found Watertite Plumbing and saw great reviews so I called. Sharif came out, we went over the the scope of work, and he gave me a price. It was a very competitive price and we liked the warranty so we chose Watertite Plumbing to do the work. When the day came to start the work, Sharif called and let me know he was on the way, he showed up ontime, and he worked hard digging a big hole. Sharif was pleasant and communicated well throughout the entire project. He even saved a tree that both other companies said they would have to remove. I will use Watertite again and recommend you get a quote from them before you do any work."", ""Huge thanks to Watertite Plumbing! My water heater was leaking and they came out fast to fix it. Super friendly, fair pricing, and the new water heater replacement works great. If you need a local plumber near Seattle, these are the guys to call."", ""I highly recommend Sharif for any types of plumbing job needed. He did an awesome job with my tub. He is always prompt in response, patient in answering all my questions. His quote price is competitive to begin with. Further, in the process, after he realized the job is easier than initially estimated, he actually reduced the price without being asked. I really appreciate Sharif's honesty, patience and professionalism. I am now confident to treat Sharif as my go-to plumber, and recommend anyone to work with him as well."", ""Sharif was great, quick response, fair price.  As a person who takes on a lot of my own home repairs I really appretiated that he took  extra time to show me how he was doing the work and tips for a propriety pipe system connections.""]"
2026-03-12T07:58:24Z,Seattle,plumber,Pioneer Plumbing & Sewer,"
3425 16th Ave W, Seattle, WA 98119",,https://pioneerplumbing.biz/,4.4,71,yes,"aaron is mentioned a few times so i might connect with him, this one is 50/50 though if i call or not. I would call just to be safe though",,"[{""review_index"": 1, ""text"": ""I informed Aaron that I am being admitted into UW""}, {""review_index"": 2, ""text"": ""Shout out to Aaron and Justin Lee.""}]",aaron,"[""We just had another wonderful experience with Pioneer Plumbing!\nMy wife fortunately noticed our old Water Heater leaking, as it seeped under the closet door, before it had a chance to completely fail and cause a major mess.\nAaron immediately returned my after hours voicemail over the 4th of July Holiday weekend.\nI informed Aaron that I am being admitted into UW Hospital in just 2-days for Leukemia treatment, so we really needed a new water heater installed ASAP.\nTo prevent the water heater from bursting and spilling water all over the basement (See pic), Aaron took the time to walk me thru how to shutoff the water valve going into the water heater, and how to use a garden hose to safely drain the water out of the leaking tank.\nAaron then assured me the Dispatcher will call me the next morning to schedule the water heater replacement.\nSure enough, the next morning I spoke to the very nice Dispatcher while driving to my Fred Hutch Cancer Center Appt.\nGratefully surprised the Dispatcher was indeed  able to schedule Emanuel to arrive the next afternoon to replace the water heater.\nEmanuel is the definition of a talented professional plumber.\nIt took Emanuel less than 1/2 a day ALONE, to remove the old leaking tank and replace it with a shiny new 50-gallon Bradford/White water heater (See pic).\nOver the past 10-years, we have now enjoyed the professionals at Pioneer Plumbing at least 5-times, each time being completely satisfied with their work.\nIf you ever need an empathetic, personable, and talented plumbing organization, do not hesitate to contact the top professionals at Pioneer Plumbing."", ""We are so grateful to have a  awesome professional team to rely on.\nThis company has some of best of the best!\nThank you for everything you all do.\n10/10\nYour team is the best hands down. Shout out to Aaron and Justin Lee. Impeccable performance and dedication.\nThank you for your hard work !"", ""great company, great staff. They came in with the right answers, knew exactly what needed to be done, and made me feel like the situation was under control. This was not the case when the leak first started. Highly recommended for anybody needing plumbing work in the Seattle area."", ""I had a disappointing experience with Pioneer Plumbing. Communication was poor from the start. They didn’t tell me when they’d arrive, didn’t knock, and entered through the back without saying a word. Throughout the job, we had to initiate every conversation just to understand what was going on. When they finished the job they didn’t even take the initiative to let us know that they had finished, provide a summary of work that was done, and what the root cause was.\n\nThe pricing felt very excessive for the work performed. 3 workers were sent to dig a hole, only 1 of them was digging while the other 2 were chatting the whole time about moonshine, drugs, and parties they go to. They came unprepared, even though they arrived in a 20+ ft truck, so another 2 workers came with the required part. Then the 2 additional that came also joined their conversation and just stood around, distracting to the main person working.\n\nNo details on labor costs, parts, taxes, and fees were stated on the SOW. We had to sign it since it was an emergency fix that was needed. After some negotiation they eventually reduced the price by a small amount. Nevertheless, they took advantage of our vulnerability.\n\nTo top it off, they reached out after the invoice was paid, stating they forgot to include taxes. This was an absolute waste on my time due to their lack of attention to detail, professionalism, and management. The entire process was frustrating and lacked professionalism. I wouldn’t use them again."", ""I have dealt with these guys several times now for the building I manage. Zane especially and Patrick are all stars. Smart, communicative and stay until the job is done! Thank you so much"", ""Pioneer responded quickly when I called about my water main leak.  They were flexible in scheduling a time for plumbing based on when the excavator was finished digging trench.  They worked quickly and efficiently and charged a fair price.  Highly recommend.""]"
2026-03-12T07:59:14Z,Seattle,plumber,Soreano's Plumbing,"
9423 Martin Luther King Jr Way S Suite #B, Seattle, WA 98118",,http://www.soreanosplumbing.com/,4.2,27,no,too many names mentioned without a bias towards one signaling ownership,,"[{""review_index"": 1, ""text"": ""Karl and his helper""}, {""review_index"": 2, ""text"": ""get a plumber, Anthony, to come by a few days later. Anthony quickly diagnosed the problem""}, {""review_index"": 3, ""text"": ""weekend. Karl, the plumber on this job""}, {""review_index"": 4, ""text"": ""Ron provided great advice""}]",,"[""we had a severe plumbing problem with our bathtub and shower. when Karl and his helper came out they were courteous and professional. they fixed the problem in a timely manner and left everything clean like they had never been here. Karl had given me a quote and told me it might be a  little more after they got into it instead he gave me a reduction in price. I would rate them highly."", ""We had a leaky bathtub faucet that went from a drip to a steady stream over several days. We called Beacon Plumbing initially to get it fixed, but they quoted an exorbitant price, insisting that they had to replace the entire faucet system even if it was simply a damaged o-ring or cartridge.\nCalled up Soreano's and was able to get a plumber, Anthony, to come by a few days later.  Anthony quickly diagnosed the problem, got replacement parts, fixed the issue and had us up and running in a short amount of time.  He was very courteous as well - removing his shoes without being asked (Beacon guys kept their on) and offering to wear a mask when I explained we were trying to keep sickness out of the house due to a health situation.  To top it off, the price of the repair was less than a third of what Beacon quoted us.\nSoreano's will certainly be our first call for future plumbing issues!"", ""The best. Our kitchen pipes had a clog. They came out same day - fit us in because it was a Friday and they did not want us to be without our kitchen all weekend. Karl, the plumber on this job, was so professional, conscience and kind.\n\nWe have been using Soreano's for over 20 years, when Ron owned it. I am glad the new management is carrying on Ron's attention to customer service. Thank you Karl and team."", ""I really appreciated how easy it was to deal with Soreano's Plumbing. We had multiple issues going on at our house (water heater, leaky shower head, leaky toilet, new kitchen faucet set).  Besides being competitively priced, Ron provided great advice and they were able to schedule us quickly.  I would definitely use them again and highly recommend them to others."", ""I'd love to leave these guys a good review and it seems like years ago they were good.  But today they never showed up during the window and never called to let us know anything. When I followed up hours after the window they said, \""oh the plumber got busy, he'll call you when he's done.\"" FOUR HOURS LATER no call. I canceled them and found someone else. If you value your time, go elsewhere."", ""Please read.\nWhen looking for a plumber, there are two types of businesses: The first is the small family-owned type operation that employs mostly the same reliable people from year to year. The second is a big operation where you recognize the name through heavy advertising on the sides of buses and a large fleet of service vans. The former works on repeat business and customer loyalty. They stay small to so that the business is built on reliability and relationships. The latter is built on high volume and very high pricing. They do not care about customer loyalty. They want that highly profitable big sale from people who are either desperate or who don't know any better. And the pricing is outrageous and deceptive. The inspection fee is reasonable and then if you agree, they really get you. Make no mistake about it. It is YOU who is paying for all that advertising on the sides of buses, not them.\nI have been using Soreano' Plumbing for about 25 years. This is a small family-type operation that has employed mostly the same good people for years. Repeat customers who have been with them a long time are usually given quick service. The work is not cheap but then, I have never had a case where it was not done correctly. As a precaution, I would  note that you should be very specific about what the problem is what you want done before they come out so they bring the right tools or equipment. Otherwise, I recommend them without reservation.""]"
2026-03-12T08:03:49Z,Seattle,plumber,Seattle Emergency Plumber Kings,"
801 NW 42nd St STE 14, Seattle, WA 98107",,Not listed,4.8,24,no,mentions tech/technicians rather than a single person with a name,,"[{""review_index"": 3, ""text"": ""My tech replaced""}, {""review_index"": 5, ""text"": ""Technician arrived on time, explained""}]",,"[""A major clog backed up all the drains in our house. Seattle Emergency Plumber Kings used a camera and hydro-jetting to fix it for good."", ""Our bathroom in Ballard flooded due to a clogged drain. Seattle Emergency Plumber Kings showed up fast and resolved the issue like pros."", ""Sunshine Plumbing & Rooter was amazing. My tech replaced our water heater in record time (in fact, ahead of schedule). He was so knowledgeable, informative and friendly. We will recommend Sunshine Plumbing & Rooter to all friends and neighbors. Sunshine Plumbing & Rooter was recommended to us by our neighbors who had their water heater replaced a few months ago and we are so pleased to double their praises for quality, service and price."", ""Our water heater broke, but Seattle Emergency Plumber Kings replaced it quickly and efficiently."", ""I had someone from Sunshine Plumbing & Rooter come and replace my 14 years old water heater, previously installed by Sunshine Plumbing & Rooter. This is the 4th time using them. Technician arrived on time, explained everything I needed to know, did a beautiful installation and made sure I understood the terms of the warranty. I highly recommend this company."", ""says they support emergency plumbing services but this is misleading. they do not provide emergency plumbing services and you will be forced to wait hours""]"
